,0,1,2,3,4,5
32344,-10.0,-19.0,-1.0,-12.0,-12.0,-2.0
21686,4.0,4.0,1.0,2.0,1.0,3.0
52923,165.0,167.0,-11.0,192.0,164.0,146.0
42754,-143.0,-134.0,-77.0,-46.0,52.0,-30.0
37793,-379.0,-323.0,-220.0,-154.0,37.0,-116.0
53263,9.0,43.0,12.0,12.0,24.0,39.0
53227,-43.0,-21.0,-40.0,-24.0,15.0,9.0
21563,391.0,463.0,-9.0,224.0,304.0,321.0
37741,145.0,145.0,36.0,140.0,72.0,146.0
53358,9.0,1.0,2.0,7.0,25.0,30.0
12822,83.0,78.0,15.0,75.0,62.0,102.0
53627,16.0,-37.0,-118.0,24.0,429.0,348.0
53695,-30.0,-10.0,-4.0,-13.0,42.0,26.0
53819,12.0,5.0,-1.0,3.0,8.0,18.0
37779,3.0,4.0,3.0,1.0,3.0,4.0
37095,107.0,112.0,-11.0,49.0,56.0,79.0
53807,1.0,13.0,-32.0,-10.0,51.0,11.0
49459,31.0,18.0,24.0,56.0,100.0,82.0
53204,60.0,81.0,16.0,37.0,35.0,29.0
53575,34.0,40.0,-8.0,29.0,57.0,25.0
52920,43.0,63.0,-173.0,285.0,255.0,245.0
53289,11.0,-2.0,-2.0,-1.0,9.0,9.0
23770,197.0,284.0,-126.0,285.0,256.0,169.0
35089,0.0,14.0,-3.0,-4.0,-6.0,-2.0
53252,-4.0,4.0,-11.0,-18.0,14.0,20.0
43150,-6.0,-6.0,4.0,-2.0,0.0,0.0
13373,3.0,30.0,-20.0,14.0,30.0,14.0
4240,-40.0,25.0,-42.0,-40.0,72.0,-14.0
53424,1.0,2.0,5.0,3.0,2.0,2.0
21772,62.0,146.0,39.0,34.0,111.0,98.0
34669,287.0,244.0,11.0,230.0,229.0,281.0
53619,2.0,0.0,6.0,4.0,3.0,1.0
53650,23.0,18.0,-8.0,20.0,8.0,8.0
21642,164.0,300.0,23.0,304.0,459.0,230.0
49455,89.0,65.0,-93.0,94.0,180.0,108.0
36461,62.0,50.0,13.0,65.0,51.0,47.0
53468,67.0,51.0,-25.0,34.0,80.0,77.0
14045,2.0,4.0,-1.0,0.0,1.0,1.0
13449,84.0,75.0,-6.0,50.0,21.0,77.0
13195,-29.0,50.0,-29.0,-17.0,49.0,23.0
53612,-129.0,-61.0,-33.0,-92.0,-26.0,-51.0
36441,-4.0,48.0,-21.0,-16.0,70.0,59.0
53758,6.0,0.0,2.0,18.0,29.0,35.0
32382,42.0,63.0,5.0,8.0,75.0,46.0
36471,52.0,84.0,-48.0,100.0,179.0,108.0
